destination,Name,distance,property_url,rating,remark,locationScore,stars,price,payment,total_reviews
Manali Himachal Pradesh,Hotel Meadows Manali,0.6 km from centre,https://www.booking.com/hotel/in/meadows-kullu.en-gb.html?,8.5,Very good,0,2,"₹ 2,878",Free cancellation,115
Manali Himachal Pradesh,Keekoo Manali,1.3 km from centre,https://www.booking.com/hotel/in/keekoo-manali-manali.en-gb.html?,9.2,Superb,0,0,"₹ 8,360",FREE cancellation • No prepayment needed,73
Manali Himachal Pradesh,Amarys Boutique Stays Manali,7 km from centre,https://www.booking.com/hotel/in/amarys-cottage-amp-cafe.en-gb.html?,10,Exceptional,10,0,"₹ 14,175",FREE cancellation • No prepayment needed,3
Manali Himachal Pradesh,Winterfell The Stay,3.8 km from centre,https://www.booking.com/hotel/in/winterfell-the-stay.en-gb.html?,7.7,Good,0,0,"₹ 9,748",FREE cancellation • No prepayment needed,30
Manali Himachal Pradesh,Nature House,1 km from centre,https://www.booking.com/hotel/in/nature-house.en-gb.html?,9.3,Superb,0,3,"₹ 27,540",FREE cancellation • No prepayment needed,10
Manali Himachal Pradesh,Hotel Mountain Top,1.1 km from centre,https://www.booking.com/hotel/in/mountain-top.en-gb.html?,6.7,Review score,0,3,"₹ 5,700",Free cancellation,225
Manali Himachal Pradesh,FabExpress Shami Inn Naggar Road,3.7 km from centre,https://www.booking.com/hotel/in/shami-inn.en-gb.html?,7.9,Good,0,3,"₹ 4,049",,25
Manali Himachal Pradesh,Zostel Homes Burwa (Manali),5.4 km from centre,https://www.booking.com/hotel/in/zostel-homes-burwa-manali-manali.en-gb.html?,9.2,Superb,0,0,"₹ 8,397",,29
Manali Himachal Pradesh,Soli Tree Luxury Camps,24.2 km from centre,https://www.booking.com/hotel/in/soli-tree-camps.en-gb.html?,8.3,Very good,0,0,"₹ 15,000",Free cancellation,3
Manali Himachal Pradesh,Manuallaya The Resort & Spa,1.4 km from centre,https://www.booking.com/hotel/in/manuallaya-the-resort-amp-spa.en-gb.html?,7.5,Good,0,5,"₹ 32,967",Free cancellation,40
Manali Himachal Pradesh,Hotel New Vistas,0.5 km from centre,https://www.booking.com/hotel/in/new-vistas-manali12345.en-gb.html?,8.9,Fabulous,0,3,"₹ 8,100",Free cancellation,16
Manali Himachal Pradesh,The Culture Nation Hostel,1.7 km from centre,https://www.booking.com/hotel/in/the-culture-nation-hostel.en-gb.html?,8.9,Fabulous,0,3,"₹ 5,397",FREE cancellation • No prepayment needed,433
Manali Himachal Pradesh,Beas Valley Manali,1.6 km from centre,https://www.booking.com/hotel/in/amneu-beas-valley.en-gb.html?,8.2,Very good,0,3,"₹ 4,090",Free cancellation,149
Manali Himachal Pradesh,Renest River Country Resort Manali - Centrally Heated,1.2 km from centre,https://www.booking.com/hotel/in/quality-inn-river-country-resort.en-gb.html?,8.5,Very good,0,4,"₹ 14,745",Free cancellation,123
Manali Himachal Pradesh,Woodstock Inn Manali,400 m from centre,https://www.booking.com/hotel/in/woodstock-inn.en-gb.html?,8.3,Very good,0,3,"₹ 6,700",Free cancellation,98
Manali Himachal Pradesh,Clarity Rooms Manali,1.7 km from centre,https://www.booking.com/hotel/in/clarity-rooms.en-gb.html?,8.3,Very good,9.4,3,"₹ 4,048",FREE cancellation • No prepayment needed,9
Manali Himachal Pradesh,Madpackers Manali,1.9 km from centre,https://www.booking.com/hotel/in/the-madpackers-manali-hostel.en-gb.html?,8.9,Fabulous,0,0,"₹ 9,636",,222
Manali Himachal Pradesh,Shingar Regency,0.8 km from centre,https://www.booking.com/hotel/in/shingar-regency.en-gb.html?,8.4,Very good,0,4,"₹ 8,578",Free cancellation,84
Manali Himachal Pradesh,Treebo Trend Hotel Shambhala Mall Road,1.4 km from centre,https://www.booking.com/hotel/in/shambhala-manali.en-gb.html?,9.5,Exceptional,10,3,"₹ 4,374",Free cancellation,6
Manali Himachal Pradesh,The Highland Park,5.3 km from centre,https://www.booking.com/hotel/in/the-highland-park.en-gb.html?,7.4,Good,9.8,0,"₹ 21,000",FREE cancellation • No prepayment needed,13
Manali Himachal Pradesh,The Crazy Indian Pad,1.9 km from centre,https://www.booking.com/hotel/in/the-crazy-indian-pad.en-gb.html?,8.8,Fabulous,0,0,"₹ 3,375",,159
Manali Himachal Pradesh,Hotel BHRIGU,2.4 km from centre,https://www.booking.com/hotel/in/brighu.en-gb.html?,9.2,Superb,9.8,3,"₹ 2,697",,15
Manali Himachal Pradesh,Hotel Greenfields,1.5 km from centre,https://www.booking.com/hotel/in/greenfields.en-gb.html?,8.5,Very good,0,3,"₹ 3,960",FREE cancellation • No prepayment needed,61
Manali Himachal Pradesh,The Manali Inn,2.2 km from centre,https://www.booking.com/hotel/in/the-manali-inn.en-gb.html?,7.1,Good,0,4,"₹ 11,250",FREE cancellation • No prepayment needed,33
